# Form icon filenames
# Put files under public/img/icons/
# Naming rule: nameEn/formVariant uppercase, keep hyphen, .png
# nameEn | baseSpeciesEn | icon filename

aegislash-blade | aegislash | AEGISLASH-BLADE.png
aegislash-shield | aegislash | AEGISLASH-SHIELD.png
arcanine-hisui | arcanine | ARCANINE-HISUI.png
arceus-bug | arceus | ARCEUS-BUG.png
arceus-dark | arceus | ARCEUS-DARK.png
arceus-dragon | arceus | ARCEUS-DRAGON.png
arceus-electric | arceus | ARCEUS-ELECTRIC.png
arceus-fairy | arceus | ARCEUS-FAIRY.png
arceus-fighting | arceus | ARCEUS-FIGHTING.png
arceus-fire | arceus | ARCEUS-FIRE.png
arceus-flying | arceus | ARCEUS-FLYING.png
arceus-ghost | arceus | ARCEUS-GHOST.png
arceus-grass | arceus | ARCEUS-GRASS.png
arceus-ground | arceus | ARCEUS-GROUND.png
arceus-ice | arceus | ARCEUS-ICE.png
arceus-poison | arceus | ARCEUS-POISON.png
arceus-psychic | arceus | ARCEUS-PSYCHIC.png
arceus-rock | arceus | ARCEUS-ROCK.png
arceus-steel | arceus | ARCEUS-STEEL.png
arceus-water | arceus | ARCEUS-WATER.png
articuno-galar | articuno | ARTICUNO-GALAR.png
avalugg-hisui | avalugg | AVALUGG-HISUI.png
basculegion-female | basculegion | BASCULEGION-FEMALE.png
basculegion-male | basculegion | BASCULEGION-MALE.png
basculin-blue-striped | basculin | BASCULIN-BLUE-STRIPED.png
basculin-red-striped | basculin | BASCULIN-RED-STRIPED.png
basculin-white-striped | basculin | BASCULIN-WHITE-STRIPED.png
braviary-hisui | braviary | BRAVIARY-HISUI.png
brute-bonnet | - | BRUTE-BONNET.png
burmy-sandy | burmy | BURMY-SANDY.png
burmy-trash | burmy | BURMY-TRASH.png
calyrex-ice | calyrex | CALYREX-ICE.png
calyrex-shadow | calyrex | CALYREX-SHADOW.png
castform-rainy | castform | CASTFORM-RAINY.png
castform-snowy | castform | CASTFORM-SNOWY.png
castform-sunny | castform | CASTFORM-SUNNY.png
cherrim-sunshine | cherrim | CHERRIM-SUNSHINE.png
chi-yu | - | CHI-YU.png
chien-pao | - | CHIEN-PAO.png
corsola-galar | corsola | CORSOLA-GALAR.png
darmanitan-galar-standard | darmanitan | DARMANITAN-GALAR-STANDARD.png
darmanitan-galar-zen | darmanitan | DARMANITAN-GALAR-ZEN.png
darmanitan-standard | darmanitan | DARMANITAN-STANDARD.png
darmanitan-zen | darmanitan | DARMANITAN-ZEN.png
darumaka-galar | darumaka | DARUMAKA-GALAR.png
decidueye-hisui | decidueye | DECIDUEYE-HISUI.png
dialga-origin | dialga | DIALGA-ORIGIN.png
diglett-alola | diglett | DIGLETT-ALOLA.png
dudunsparce-three-segment | dudunsparce | DUDUNSPARCE-THREE-SEGMENT.png
dudunsparce-two-segment | dudunsparce | DUDUNSPARCE-TWO-SEGMENT.png
dugtrio-alola | dugtrio | DUGTRIO-ALOLA.png
eiscue-ice | eiscue | EISCUE-ICE.png
eiscue-noice | eiscue | EISCUE-NOICE.png
electrode-hisui | electrode | ELECTRODE-HISUI.png
enamorus-incarnate | enamorus | ENAMORUS-INCARNATE.png
enamorus-therian | enamorus | ENAMORUS-THERIAN.png
exeggutor-alola | exeggutor | EXEGGUTOR-ALOLA.png
farfetchd-galar | farfetchd | FARFETCHD-GALAR.png
flutter-mane | - | FLUTTER-MANE.png
furfrou-dandy | furfrou | FURFROU-DANDY.png
furfrou-debutante | furfrou | FURFROU-DEBUTANTE.png
furfrou-diamond | furfrou | FURFROU-DIAMOND.png
furfrou-heart | furfrou | FURFROU-HEART.png
furfrou-kabuki | furfrou | FURFROU-KABUKI.png
furfrou-la-reine | furfrou | FURFROU-LA-REINE.png
furfrou-matron | furfrou | FURFROU-MATRON.png
furfrou-pharaoh | furfrou | FURFROU-PHARAOH.png
furfrou-star | furfrou | FURFROU-STAR.png
gastrodon-east | gastrodon | GASTRODON-EAST.png
geodude-alola | geodude | GEODUDE-ALOLA.png
gimmighoul-roaming | gimmighoul | GIMMIGHOUL-ROAMING.png
giratina-altered | giratina | GIRATINA-ALTERED.png
giratina-origin | giratina | GIRATINA-ORIGIN.png

keldeo-ordinary | keldeo | KELDEO-ORDINARY.png
keldeo-resolute | keldeo | KELDEO-RESOLUTE.png

kyurem-black | kyurem | KYUREM-BLACK.png
kyurem-white | kyurem | KYUREM-WHITE.png
landorus-incarnate | landorus | LANDORUS-INCARNATE.png
landorus-therian | landorus | LANDORUS-THERIAN.png
lilligant-hisui | lilligant | LILLIGANT-HISUI.png
linoone-galar | linoone | LINOONE-GALAR.png

mime-jr | - | MIME-JR.png
mimikyu-busted | mimikyu | MIMIKYU-BUSTED.png
mimikyu-disguised | mimikyu | MIMIKYU-DISGUISED.png
minior-blue | minior | MINIOR-BLUE.png
minior-blue-meteor | minior | MINIOR-BLUE-METEOR.png
minior-green | minior | MINIOR-GREEN.png
minior-green-meteor | minior | MINIOR-GREEN-METEOR.png
minior-indigo | minior | MINIOR-INDIGO.png
minior-indigo-meteor | minior | MINIOR-INDIGO-METEOR.png
minior-orange | minior | MINIOR-ORANGE.png
minior-orange-meteor | minior | MINIOR-ORANGE-METEOR.png
minior-red | minior | MINIOR-RED.png
minior-red-meteor | minior | MINIOR-RED-METEOR.png
minior-violet | minior | MINIOR-VIOLET.png
minior-violet-meteor | minior | MINIOR-VIOLET-METEOR.png
minior-yellow | minior | MINIOR-YELLOW.png
minior-yellow-meteor | minior | MINIOR-YELLOW-METEOR.png
miraidon-aquatic-mode | miraidon | MIRAIDON-AQUATIC-MODE.png
miraidon-drive-mode | miraidon | MIRAIDON-DRIVE-MODE.png
miraidon-glide-mode | miraidon | MIRAIDON-GLIDE-MODE.png
miraidon-low-power-mode | miraidon | MIRAIDON-LOW-POWER-MODE.png
moltres-galar | moltres | MOLTRES-GALAR.png
morpeko-full-belly | morpeko | MORPEKO-FULL-BELLY.png
morpeko-hangry | morpeko | MORPEKO-HANGRY.png
mr-mime | - | MR-MIME.png
mr-mime-galar | mr-mime | MR-MIME-GALAR.png
mr-rime | - | MR-RIME.png
muk-alola | muk | MUK-ALOLA.png
necrozma-dawn | necrozma | NECROZMA-DAWN.png
necrozma-dusk | necrozma | NECROZMA-DUSK.png
necrozma-ultra | necrozma | NECROZMA-ULTRA.png
nidoran-f | - | NIDORAN-F.png
nidoran-m | - | NIDORAN-M.png
ninetales-alola | ninetales | NINETALES-ALOLA.png
ogerpon-cornerstone-mask | ogerpon | OGERPON-CORNERSTONE-MASK.png
ogerpon-hearthflame-mask | ogerpon | OGERPON-HEARTHFLAME-MASK.png
ogerpon-wellspring-mask | ogerpon | OGERPON-WELLSPRING-MASK.png
oinkologne-female | oinkologne | OINKOLOGNE-FEMALE.png
oinkologne-male | oinkologne | OINKOLOGNE-MALE.png
oricorio-baile | oricorio | ORICORIO-BAILE.png
oricorio-pau | oricorio | ORICORIO-PAU.png
oricorio-pom-pom | oricorio | ORICORIO-POM-POM.png
oricorio-sensu | oricorio | ORICORIO-SENSU.png
palafin-hero | palafin | PALAFIN-HERO.png
palafin-zero | palafin | PALAFIN-ZERO.png
palkia-origin | palkia | PALKIA-ORIGIN.png
persian-alola | persian | PERSIAN-ALOLA.png
ponyta-galar | ponyta | PONYTA-GALAR.png
porygon-z | - | PORYGON-Z.png
pumpkaboo-average | pumpkaboo | PUMPKABOO-AVERAGE.png
pumpkaboo-large | pumpkaboo | PUMPKABOO-LARGE.png
pumpkaboo-small | pumpkaboo | PUMPKABOO-SMALL.png
pumpkaboo-super | pumpkaboo | PUMPKABOO-SUPER.png
qwilfish-hisui | qwilfish | QWILFISH-HISUI.png
raging-bolt | - | RAGING-BOLT.png
raichu-alola | raichu | RAICHU-ALOLA.png
raichu-mega-x | raichu | RAICHU-MEGA-X.png
raichu-mega-y | raichu | RAICHU-MEGA-Y.png
rapidash-galar | rapidash | RAPIDASH-GALAR.png
raticate-alola | raticate | RATICATE-ALOLA.png
rattata-alola | rattata | RATTATA-ALOLA.png
roaring-moon | - | ROARING-MOON.png
rotom-fan | rotom | ROTOM-FAN.png
rotom-frost | rotom | ROTOM-FROST.png
rotom-heat | rotom | ROTOM-HEAT.png
rotom-mow | rotom | ROTOM-MOW.png
rotom-wash | rotom | ROTOM-WASH.png
samurott-hisui | samurott | SAMUROTT-HISUI.png
sandshrew-alola | sandshrew | SANDSHREW-ALOLA.png
sandslash-alola | sandslash | SANDSLASH-ALOLA.png
sandy-shocks | - | SANDY-SHOCKS.png
sawsbuck-autumn | sawsbuck | SAWSBUCK-AUTUMN.png
sawsbuck-summer | sawsbuck | SAWSBUCK-SUMMER.png
sawsbuck-winter | sawsbuck | SAWSBUCK-WINTER.png
scream-tail | - | SCREAM-TAIL.png
shaymin-land | shaymin | SHAYMIN-LAND.png
shaymin-sky | shaymin | SHAYMIN-SKY.png
shellos-east | shellos | SHELLOS-EAST.png
silvally-bug | silvally | SILVALLY-BUG.png
silvally-dark | silvally | SILVALLY-DARK.png
silvally-dragon | silvally | SILVALLY-DRAGON.png
silvally-electric | silvally | SILVALLY-ELECTRIC.png
silvally-fairy | silvally | SILVALLY-FAIRY.png
silvally-fighting | silvally | SILVALLY-FIGHTING.png
silvally-fire | silvally | SILVALLY-FIRE.png
silvally-flying | silvally | SILVALLY-FLYING.png
silvally-ghost | silvally | SILVALLY-GHOST.png
silvally-grass | silvally | SILVALLY-GRASS.png
silvally-ground | silvally | SILVALLY-GROUND.png
silvally-ice | silvally | SILVALLY-ICE.png
silvally-poison | silvally | SILVALLY-POISON.png
silvally-psychic | silvally | SILVALLY-PSYCHIC.png
silvally-rock | silvally | SILVALLY-ROCK.png
silvally-steel | silvally | SILVALLY-STEEL.png
silvally-water | silvally | SILVALLY-WATER.png
sliggoo-hisui | sliggoo | SLIGGOO-HISUI.png
slither-wing | - | SLITHER-WING.png
slowbro-galar | slowbro | SLOWBRO-GALAR.png
slowbro-mega | slowbro | SLOWBRO-MEGA.png
slowking-galar | slowking | SLOWKING-GALAR.png
slowpoke-galar | slowpoke | SLOWPOKE-GALAR.png
sneasel-hisui | sneasel | SNEASEL-HISUI.png
squawkabilly-blue-plumage | squawkabilly | SQUAWKABILLY-BLUE-PLUMAGE.png
squawkabilly-green-plumage | squawkabilly | SQUAWKABILLY-GREEN-PLUMAGE.png
squawkabilly-white-plumage | squawkabilly | SQUAWKABILLY-WHITE-PLUMAGE.png
squawkabilly-yellow-plumage | squawkabilly | SQUAWKABILLY-YELLOW-PLUMAGE.png
stunfisk-galar | stunfisk | STUNFISK-GALAR.png
tapu-bulu | - | TAPU-BULU.png
tapu-fini | - | TAPU-FINI.png
tapu-koko | - | TAPU-KOKO.png
tapu-lele | - | TAPU-LELE.png
tatsugiri-curly | tatsugiri | TATSUGIRI-CURLY.png
tatsugiri-curly-mega | tatsugiri | TATSUGIRI-CURLY-MEGA.png
tatsugiri-droopy | tatsugiri | TATSUGIRI-DROOPY.png
tatsugiri-droopy-mega | tatsugiri | TATSUGIRI-DROOPY-MEGA.png
tatsugiri-stretchy | tatsugiri | TATSUGIRI-STRETCHY.png
tatsugiri-stretchy-mega | tatsugiri | TATSUGIRI-STRETCHY-MEGA.png
tauros-paldea-aqua-breed | tauros | TAUROS-PALDEA-AQUA-BREED.png
tauros-paldea-blaze-breed | tauros | TAUROS-PALDEA-BLAZE-BREED.png
tauros-paldea-combat-breed | tauros | TAUROS-PALDEA-COMBAT-BREED.png
terapagos-stellar | terapagos | TERAPAGOS-STELLAR.png
terapagos-terastal | terapagos | TERAPAGOS-TERASTAL.png
thundurus-incarnate | thundurus | THUNDURUS-INCARNATE.png
thundurus-therian | thundurus | THUNDURUS-THERIAN.png
ting-lu | - | TING-LU.png
tornadus-incarnate | tornadus | TORNADUS-INCARNATE.png
tornadus-therian | tornadus | TORNADUS-THERIAN.png
toxtricity-amped | toxtricity | TOXTRICITY-AMPED.png
