# Form icon file names
# Rule: use formVariant/nameEn uppercased, keep hyphen, .png
# Format: Korean name | nameEn | baseSpeciesEn | icon filename

킬가르도 (블레이드폼) | aegislash-blade | aegislash | AEGISLASH-BLADE.png
킬가르도 (실드폼) | aegislash-shield | aegislash | AEGISLASH-SHIELD.png
윈디 | arcanine-hisui | arcanine | ARCANINE-HISUI.png
아르세우스 | arceus-bug | arceus | ARCEUS-BUG.png
아르세우스 | arceus-dark | arceus | ARCEUS-DARK.png
아르세우스 | arceus-dragon | arceus | ARCEUS-DRAGON.png
아르세우스 | arceus-electric | arceus | ARCEUS-ELECTRIC.png
아르세우스 | arceus-fairy | arceus | ARCEUS-FAIRY.png
아르세우스 | arceus-fighting | arceus | ARCEUS-FIGHTING.png
아르세우스 | arceus-fire | arceus | ARCEUS-FIRE.png
아르세우스 | arceus-flying | arceus | ARCEUS-FLYING.png
아르세우스 | arceus-ghost | arceus | ARCEUS-GHOST.png
아르세우스 | arceus-grass | arceus | ARCEUS-GRASS.png
아르세우스 | arceus-ground | arceus | ARCEUS-GROUND.png
아르세우스 | arceus-ice | arceus | ARCEUS-ICE.png
아르세우스 | arceus-poison | arceus | ARCEUS-POISON.png
아르세우스 | arceus-psychic | arceus | ARCEUS-PSYCHIC.png
아르세우스 | arceus-rock | arceus | ARCEUS-ROCK.png
아르세우스 | arceus-steel | arceus | ARCEUS-STEEL.png
아르세우스 | arceus-water | arceus | ARCEUS-WATER.png
프리져 (가라르의 모습) | articuno-galar | articuno | ARTICUNO-GALAR.png
크레베이스 | avalugg-hisui | avalugg | AVALUGG-HISUI.png
대쓰여너 | basculegion-female | basculegion | BASCULEGION-FEMALE.png
대쓰여너 | basculegion-male | basculegion | BASCULEGION-MALE.png
배쓰나이 (청색근의 모습) | basculin-blue-striped | basculin | BASCULIN-BLUE-STRIPED.png
배쓰나이 (적색근의 모습) | basculin-red-striped | basculin | BASCULIN-RED-STRIPED.png
배쓰나이 | basculin-white-striped | basculin | BASCULIN-WHITE-STRIPED.png
워글 | braviary-hisui | braviary | BRAVIARY-HISUI.png
사나운버섯 | brute-bonnet | - | BRUTE-BONNET.png
도롱충이 (모래땅도롱) | burmy-sandy | burmy | BURMY-SANDY.png
도롱충이 (슈레도롱) | burmy-trash | burmy | BURMY-TRASH.png
버드렉스 (백마 탄 모습) | calyrex-ice | calyrex | CALYREX-ICE.png
버드렉스 (흑마 탄 모습) | calyrex-shadow | calyrex | CALYREX-SHADOW.png
캐스퐁 (빗방울의 모습) | castform-rainy | castform | CASTFORM-RAINY.png
캐스퐁 (설운의 모습) | castform-snowy | castform | CASTFORM-SNOWY.png
캐스퐁 (태양의 모습) | castform-sunny | castform | CASTFORM-SUNNY.png
체리꼬 (포지폼) | cherrim-sunshine | cherrim | CHERRIM-SUNSHINE.png
위유이 | chi-yu | - | CHI-YU.png
파오젠 | chien-pao | - | CHIEN-PAO.png
코산호 (가라르의 모습) | corsola-galar | corsola | CORSOLA-GALAR.png
불비달마 (가라르의 모습) | darmanitan-galar-standard | darmanitan | DARMANITAN-GALAR-STANDARD.png
불비달마 (달마모드) | darmanitan-galar-zen | darmanitan | DARMANITAN-GALAR-ZEN.png
불비달마 (노말모드) | darmanitan-standard | darmanitan | DARMANITAN-STANDARD.png
불비달마 (달마모드) | darmanitan-zen | darmanitan | DARMANITAN-ZEN.png
달막화 (가라르의 모습) | darumaka-galar | darumaka | DARUMAKA-GALAR.png
모크나이퍼 | decidueye-hisui | decidueye | DECIDUEYE-HISUI.png
사철록 (가을의 모습) | deerling-autumn | deerling | DEERLING-AUTUMN.png
사철록 (여름의 모습) | deerling-summer | deerling | DEERLING-SUMMER.png
사철록 (겨울의 모습) | deerling-winter | deerling | DEERLING-WINTER.png
테오키스 (어택폼) | deoxys-attack | deoxys | DEOXYS-ATTACK.png
